Phase_ID,Phase_Name,Market_Regime,Start_Date,End_Date,Trading_Days,Universe,Strategy,Strategy_Description,NIFTY_50_Return_%,Net_Take_Home_Val_Rs,Net_Take_Home_Return_%,Alpha_over_NIFTY_%,Win_Rate_%,Profit_Factor,Max_Drawdown_%,Total_Trades,Total_Charges_Rs,STCG_Tax_Rs,Narrative
1,Demonetization Shock,Bear,2016-09-08,2016-12-26,73,Top 101 Winners,Strategy 2,Strategy 2 (Dynamic Adaptive),-11.66,96589.99,-3.41,8.25,17.6,0.56,-3.48,34,1047.08,0.0,Sudden 86% currency demonetization shock & FII outflow
1,Demonetization Shock,Bear,2016-09-08,2016-12-26,73,Top 50 Champions,Strategy 2,Strategy 2 (Dynamic Adaptive),-11.66,100122.85,0.12,11.78,20.0,1.05,-2.34,20,623.17,30.71,Sudden 86% currency demonetization shock & FII outflow
1,Demonetization Shock,Bear,2016-09-08,2016-12-26,73,Top 50 Champions,Strategy 3,Strategy 3 (Hybrid Optimal),-11.66,100572.96,0.57,12.23,60.0,2.13,-0.7,10,241.91,143.24,Sudden 86% currency demonetization shock & FII outflow
1,Demonetization Shock,Bear,2016-09-08,2016-12-26,73,Top 50 Champions,Strategy 1,Strategy 1 (Classic Breakout),-11.66,99250.35,-0.75,10.91,25.0,0.64,-1.06,20,509.47,0.0,Sudden 86% currency demonetization shock & FII outflow
2,2017 Mega Trending Bull,Bull,2017-01-02,2017-12-29,248,Top 101 Winners,Strategy 2,Strategy 2 (Dynamic Adaptive),28.75,121731.73,21.73,-7.02,33.2,1.74,-2.58,268,8943.62,5432.93,"GST rollout, post-demod financialization & secular uptrend"
2,2017 Mega Trending Bull,Bull,2017-01-02,2017-12-29,248,Top 50 Champions,Strategy 2,Strategy 2 (Dynamic Adaptive),28.75,112393.9,12.39,-16.36,34.5,1.8,-3.27,145,4704.65,3098.48,"GST rollout, post-demod financialization & secular uptrend"
2,2017 Mega Trending Bull,Bull,2017-01-02,2017-12-29,248,Top 50 Champions,Strategy 3,Strategy 3 (Hybrid Optimal),28.75,101376.87,1.38,-27.37,54.7,1.23,-2.31,86,2114.04,344.24,"GST rollout, post-demod financialization & secular uptrend"
2,2017 Mega Trending Bull,Bull,2017-01-02,2017-12-29,248,Top 50 Champions,Strategy 1,Strategy 1 (Classic Breakout),28.75,103885.71,3.89,-24.86,37.2,1.46,-1.94,145,3749.79,971.43,"GST rollout, post-demod financialization & secular uptrend"
3,2018 NBFC Crisis & Midcap Bear,Bear,2018-01-15,2018-10-26,193,Top 101 Winners,Strategy 2,Strategy 2 (Dynamic Adaptive),-6.62,91897.55,-8.1,-1.48,19.7,0.75,-10.98,193,5786.27,0.0,"IL&FS default, LTCG tax reintroduction & midcap selloff"
3,2018 NBFC Crisis & Midcap Bear,Bear,2018-01-15,2018-10-26,193,Top 50 Champions,Strategy 2,Strategy 2 (Dynamic Adaptive),-6.62,97786.46,-2.21,4.41,23.1,0.88,-5.24,104,3156.25,0.0,"IL&FS default, LTCG tax reintroduction & midcap selloff"
3,2018 NBFC Crisis & Midcap Bear,Bear,2018-01-15,2018-10-26,193,Top 50 Champions,Strategy 3,Strategy 3 (Hybrid Optimal),-6.62,97432.67,-2.57,4.05,36.4,0.66,-4.34,55,1375.4,0.0,"IL&FS default, LTCG tax reintroduction & midcap selloff"
3,2018 NBFC Crisis & Midcap Bear,Bear,2018-01-15,2018-10-26,193,Top 50 Champions,Strategy 1,Strategy 1 (Classic Breakout),-6.62,97678.44,-2.32,4.3,27.9,0.76,-2.86,104,2602.92,0.0,"IL&FS default, LTCG tax reintroduction & midcap selloff"
4,2018-19 Pre-Election & Tax Cut Range,Consolidation,2018-10-29,2019-12-31,284,Top 101 Winners,Strategy 2,Strategy 2 (Dynamic Adaptive),18.71,105718.74,5.72,-12.99,27.4,1.13,-8.52,329,10504.44,1429.68,"Election anticipation, surprise corporate tax cut & rangebound chop"
4,2018-19 Pre-Election & Tax Cut Range,Consolidation,2018-10-29,2019-12-31,284,Top 50 Champions,Strategy 2,Strategy 2 (Dynamic Adaptive),18.71,107810.42,7.81,-10.9,31.7,1.41,-3.61,164,5306.38,1952.6,"Election anticipation, surprise corporate tax cut & rangebound chop"
4,2018-19 Pre-Election & Tax Cut Range,Consolidation,2018-10-29,2019-12-31,284,Top 50 Champions,Strategy 3,Strategy 3 (Hybrid Optimal),18.71,101461.27,1.46,-17.25,44.4,1.2,-3.22,99,2465.68,365.33,"Election anticipation, surprise corporate tax cut & rangebound chop"
