date,portfolio_value,cash,open_positions_val,open_count,nifty_value,peak,drawdown,nifty_peak,nifty_drawdown
2023-08-23,1000000.0,1000000.0,0.0,0,1000000.0,1000000.0,0.0,1000000.0,0.0
2023-08-24,1000000.0,1000000.0,0.0,0,997053.0353193787,1000000.0,0.0,1000000.0,-0.2946964680621284
2023-08-25,1000000.0,1000000.0,0.0,0,990835.2592702119,1000000.0,0.0,1000000.0,-0.9164740729788086
2023-08-28,1000000.0,1000000.0,0.0,0,992905.3065855791,1000000.0,0.0,1000000.0,-0.7094693414420937
2023-08-29,1000000.0,1000000.0,0.0,0,994787.6152347767,1000000.0,0.0,1000000.0,-0.521238476522325
2023-08-30,1000000.0,1000000.0,0.0,0,995034.4177509771,1000000.0,0.0,1000000.0,-0.49655822490229035
2023-08-31,1000000.0,1000000.0,0.0,0,990218.1023066241,1000000.0,0.0,1000000.0,-0.9781897693375942
2023-09-01,1000000.0,1000000.0,0.0,0,999552.6013808887,1000000.0,0.0,1000000.0,-0.04473986191112781
2023-09-04,1002017.2157287598,694469.8486328125,307547.36709594727,1,1004361.2827221764,1002017.2157287598,0.0,1004361.2827221764,0.0
2023-09-05,1002269.4160461426,694469.8486328125,307799.5674133301,1,1006732.1739675478,1002269.4160461426,0.0,1006732.1739675478,0.0
2023-09-06,1002185.3591918945,694469.8486328125,307715.51055908203,1,1008591.3794101009,1002269.4160461426,-0.008386652620773679,1008591.3794101009,0.0
2023-09-07,1000000.0,694469.8486328125,305530.1513671875,1,1014557.2300581156,1002269.4160461426,-0.2264277458545237,1014557.2300581156,0.0
2023-09-08,1004538.8023376465,694469.8486328125,310068.953704834,1,1019334.9731922443,1004538.8023376465,0.0,1019334.9731922443,0.0
2023-09-11,1002773.6976623535,694469.8486328125,308303.849029541,1,1028407.2006467291,1004538.8023376465,-0.1757129412209286,1028407.2006467291,0.0
2023-09-12,998571.1524963379,694469.8486328125,304101.3038635254,1,1028245.1768540423,1004538.8023376465,-0.5940686240712025,1028407.2006467291,-0.01575482868895363
2023-09-13,1003614.2364501953,694469.8486328125,309144.3878173828,1,1032195.0216004938,1004538.8023376465,-0.0920388426310292,1032195.0216004938,0.0
2023-09-14,1010338.427734375,694469.8486328125,315868.5791015625,1,1033897.3261353117,1010338.427734375,0.0,1033897.3261353117,0.0
2023-09-15,1008237.1551513672,694469.8486328125,313767.3065185547,1,1038487.4310519954,1010338.427734375,-0.20797710206072176,1038487.4310519954,0.0
2023-09-18,1008405.2391052246,694469.8486328125,313935.3904724121,1,1035450.5647629088,1010338.427734375,-0.19134070090607694,1038487.4310519954,-0.29243168460981334
2023-09-20,1003637.1742095947,358448.41415405273,645188.760055542,2,1023523.9863518309,1010338.427734375,-0.6632682021020861,1038487.4310519954,-1.440888377917719
2023-09-21,1000014.3924885138,686163.0886249884,313851.3038635254,1,1015344.0449174553,1010338.427734375,-1.0218393126956684,1038487.4310519954,-2.228566802305509
2023-09-22,997324.781435047,686163.0886249884,311161.6928100586,1,1011841.6992388397,1010338.427734375,-1.2880482363231793,1038487.4310519954,-2.565821310534628
2023-09-25,997997.1470051154,686163.0886249884,311834.05838012695,1,1011857.1683424193,1010338.427734375,-1.2214996866875785,1038487.4310519954,-2.5643317302934907
2023-09-26,1001779.5269184455,686163.0886249884,315616.43829345703,1,1011350.504975828,1010338.427734375,-0.8471320679272148,1038487.4310519954,-2.6131203194898056
2023-09-27,1001661.2337360724,354017.2426777228,647643.9910583496,2,1014011.9943813002,1010338.427734375,-0.8588403410291606,1038487.4310519954,-2.3568351372246656
2023-09-28,998223.6662311896,354017.2426777228,644206.4235534668,2,1004091.2765506069,1010338.427734375,-1.199079553011957,1038487.4310519954,-3.3121397017337877
2023-09-29,1006261.1964130744,354017.2426777228,652243.9537353516,2,1009992.8400149145,1010338.427734375,-0.40355104877516795,1038487.4310519954,-2.7438551671458966
2023-10-03,991359.7567705909,991359.7567705909,0.0,0,1004358.6710553385,1010338.427734375,-1.8784469087593414,1038487.4310519954,-3.286391243280068
2023-10-04,991359.7567705909,991359.7567705909,0.0,0,999593.6849092265,1010338.427734375,-1.8784469087593414,1038487.4310519954,-3.745230320541216
2023-10-05,990390.5187334815,661326.0840410987,329064.4346923828,1,1005232.9767537544,1010338.427734375,-1.9743789262401408,1038487.4310519954,-3.202200941859637
2023-10-06,990297.9600176612,661326.0840410987,328971.8759765625,1,1010774.5319893027,1010338.427734375,-1.9835400858357297,1038487.4310519954,-2.6685830019742545
2023-10-09,988292.5596270362,465554.2725176612,522738.287109375,2,1003515.203115357,1010338.427734375,-2.1820280712053446,1038487.4310519954,-3.367612056817219
2023-10-10,990913.4807696143,465554.2725176612,525359.2082519531,2,1012643.9832017588,1010338.427734375,-1.9226178507651115,1038487.4310519954,-2.4885662625744978
2023-10-11,994686.4092364112,465554.2725176612,529132.13671875,2,1018892.6974580848,1010338.427734375,-1.5491857053346496,1038487.4310519954,-1.886853225951996
2023-10-12,992654.7577471534,465554.2725176612,527100.4852294922,2,1018000.4114379757,1010338.427734375,-1.7502719387677053,1038487.4310519954,-1.9727749225877642
2023-10-13,1000942.3320879737,465554.2725176612,535388.0595703125,2,1015791.5439852912,1010338.427734375,-0.9299948797821619,1038487.4310519954,-2.185475373901552
2023-10-16,994038.5776934425,465554.2725176612,528484.3051757812,2,1014798.9096893644,1010338.427734375,-1.6133059570429285,1038487.4310519954,-2.281059996906689
2023-10-17,998983.0266680518,465554.2725176612,533428.7541503906,2,1018900.4320098745,1010338.427734375,-1.1239205353979245,1038487.4310519954,-1.8861084358314386
2023-10-18,994560.7919268409,465554.2725176612,529006.5194091797,2,1011679.675446153,1010338.427734375,-1.5616188966418436,1038487.4310519954,-2.581423212670555
2023-10-19,1007051.6232295124,326441.7356562702,680609.8875732422,2,1009293.3150972023,1010338.427734375,-0.3253171823062402,1038487.4310519954,-2.8112151463613966
2023-10-20,1004088.042885274,676277.4287495319,327810.6141357422,1,1005073.5646279058,1010338.427734375,-0.6186426921439659,1038487.4310519954,-3.217551356422392
2023-10-23,1000599.1727318782,1000599.1727318782,0.0,0,991655.5235548241,1010338.427734375,-0.9639596728332382,1038487.4310519954,-4.509626799212221
2023-10-25,1001438.3609643001,668068.3009057064,333370.06005859375,1,983447.3560288522,1010338.427734375,-0.8808995605594028,1038487.4310519954,-5.300023223910106
2023-10-26,1000319.8507333418,1000319.8507333418,0.0,0,969823.5959679078,1010338.427734375,-0.9916060525876769,1038487.4310519954,-6.611908149387094
2023-10-27,1000319.8507333418,1000319.8507333418,0.0,0,979595.2478913805,1010338.427734375,-0.9916060525876769,1038487.4310519954,-5.670957721746975
2023-10-30,985265.5122430464,662424.0747430464,322841.4375,1,984411.6637844578,1010338.427734375,-2.481635341491774,1038487.4310519954,-5.207166273814059
2023-10-31,989090.0088304565,989090.0088304565,0.0,0,981258.9801159741,1010338.427734375,-2.103099151792812,1038487.4310519954,-5.510750465034367
2023-11-01,989090.0088304565,989090.0088304565,0.0,0,976607.1996824213,1010338.427734375,-2.103099151792812,1038487.4310519954,-5.958688523258193
2023-11-02,989090.0088304565,989090.0088304565,0.0,0,984018.2061304258,1010338.427734375,-2.103099151792812,1038487.4310519954,-5.245053843973042
2023-11-03,989090.0088304565,989090.0088304565,0.0,0,989024.8719077865,1010338.427734375,-2.103099151792812,1038487.4310519954,-4.762942493594069
2023-11-06,998511.1305650757,577054.8999437378,421456.2306213379,2,998341.390660358,1010338.427734375,-1.17062727147985,1038487.4310519954,-3.8658186118795035
2023-11-07,994492.9079088257,577054.8999437378,417438.0079650879,2,998081.6302586917,1010338.427734375,-1.5683378351828097,1038487.4310519954,-3.8908319528116264
2023-11-08,998179.2967485473,577054.8999437378,421124.39680480957,2,999974.2851265172,1010338.427734375,-1.2034710995892528,1038487.4310519954,-3.708580843050175
2023-11-09,1003342.821010022,577054.8999437378,426287.9210662842,2,997495.4115022629,1010338.427734375,-0.6924023210757491,1038487.4310519954,-3.9472812403908666
2023-11-10,995642.2610582397,242769.46903553465,752872.7920227051,3,999040.8151293459,1010338.427734375,-1.4545786117519617,1038487.4310519954,-3.7984683052629533
