ticker,symbol,company_name,entry_date,entry_price,qty,exit_date,exit_price,exit_reason,pnl,pnl_pct,holding_days,year
BEL.NS,BEL,Bharat Electronics Ltd.,2023-09-18,136.64962768554688,2459,2023-09-21,133.27152276166558,Stop Loss Hit,-8306.760007824105,-2.472092299918202,3,2023
ONGC.NS,ONGC,Oil & Natural Gas Corporation Ltd.,2023-09-01,156.68212890625,1950,2023-10-03,159.40984186406934,Stop Loss Hit,5319.040267747704,1.7409215568237837,32,2023
EICHERMOT.NS,EICHERMOT,Eicher Motors Ltd.,2023-09-26,3355.008544921875,99,2023-10-03,3297.912348059928,Stop Loss Hit,-5652.523489332772,-1.7018197151350845,7,2023
BAJAJFINSV.NS,BAJAJFINSV,Bajaj Finserv Ltd.,2023-10-06,1631.4317626953125,120,2023-10-19,1596.1556203526657,Stop Loss Hit,-4233.13708111762,-2.1622812028844285,13,2023
NESTLEIND.NS,NESTLEIND,Nestle India Ltd.,2023-10-04,1111.2244873046875,297,2023-10-20,1177.8979565429686,Target Hit (1:2 RR),19802.020363769483,5.999999999999985,16,2023
CIPLA.NS,CIPLA,Cipla Ltd.,2023-10-18,1176.6947021484375,281,2023-10-23,1154.1699074104856,Stop Loss Hit,-6329.467321364478,-1.9142428955297892,5,2023
M&M.NS,M&M,Mahindra & Mahindra Ltd.,2023-10-23,1525.3709716796875,218,2023-10-26,1524.0896781084193,Stop Loss Hit,-279.32199853646307,-0.08399881701283862,3,2023
SHRIRAMFIN.NS,SHRIRAMFIN,Shriram Finance Ltd.,2023-10-27,369.1489562988281,821,2023-10-30,356.9768783569336,Stop Loss Hit,-9993.27599029542,-3.29733505518601,3,2023
MARUTI.NS,MARUTI,Maruti Suzuki India Ltd.,2023-10-27,10246.953125,32,2023-10-31,10208.310440231564,Stop Loss Hit,-1236.5659125899547,-0.3771139020257408,4,2023
M&M.NS,M&M,Mahindra & Mahindra Ltd.,2023-11-09,1512.603759765625,221,2023-11-13,1477.4967842253477,Stop Loss Hit,-7758.641594401281,-2.3209631282231538,4,2023
APOLLOHOSP.NS,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,2023-11-03,5114.08056640625,51,2023-11-20,5497.652050781249,Target Hit (1:2 RR),19562.145703124963,7.500301948597212,17,2023
BAJAJFINSV.NS,BAJAJFINSV,Bajaj Finserv Ltd.,2023-11-16,1617.459228515625,86,2023-11-20,1586.2975523487444,Stop Loss Hit,-2679.9041503517337,-1.9265818647854465,4,2023
ETERNAL.NS,ETERNAL,Eternal Ltd.,2023-11-03,116.5,1298,2023-11-21,116.40279639504169,Stop Loss Hit,-126.17027923588586,-0.08343657077966489,18,2023
ADANIPORTS.NS,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,2023-11-28,826.5990600585938,273,2023-12-05,900.0575744628907,Target Hit (1:2 RR),20054.17443237306,8.886837398422614,7,2023
INFY.NS,INFY,Infosys Ltd.,2023-11-15,1299.8367919921875,253,2023-12-11,1377.826999511719,Target Hit (1:2 RR),19731.522502441443,6.000000000000011,26,2023
ETERNAL.NS,ETERNAL,Eternal Ltd.,2023-11-30,118.55000305175781,2826,2023-12-12,117.32731548042754,Stop Loss Hit,-3455.3150765793403,-1.0313686544541505,12,2023
NESTLEIND.NS,NESTLEIND,Nestle India Ltd.,2023-11-30,1178.45849609375,6,2023-12-15,1194.7926752819085,Stop Loss Hit,98.00507512895092,1.3860631700056965,15,2023
INFY.NS,INFY,Infosys Ltd.,2023-12-14,1383.651123046875,249,2023-12-18,1466.6701904296874,Target Hit (1:2 RR),20671.74777832029,5.999999999999994,4,2023
ITC.NS,ITC,ITC Ltd.,2023-12-01,386.08758544921875,4,2023-12-20,386.5174245202193,Stop Loss Hit,1.7193562840022878,0.1113320104557228,19,2023
SHRIRAMFIN.NS,SHRIRAMFIN,Shriram Finance Ltd.,2023-12-14,408.1300048828125,522,2023-12-20,390.541106258714,Stop Loss Hit,-9181.405081779405,-4.309631346303202,6,2023
NESTLEIND.NS,NESTLEIND,Nestle India Ltd.,2023-12-19,1239.4111328125,241,2024-01-01,1326.41357421875,Target Hit (1:2 RR),20967.58837890625,7.019659506270698,13,2024
JIOFIN.NS,JIOFIN,Jio Financial Services Ltd.,2024-01-04,240.4610137939453,1479,2024-01-12,254.88867462158203,Target Hit (1:2 RR),21338.5103640747,5.999999999999998,8,2024
