Universe,Strategy,Strategy Description,Initial Capital (₹),Gross Return (%),Total Charges (₹),Post-Fee Return (%),20% STCG Tax (₹),Net Take-Home (₹),Net Return (%),10-Yr CAGR (%),Total Trades,Win Rate (%),Profit Factor,Max Drawdown (%),Avg Hold Days
Top 101 Winners Pool,Strategy 2,Strategy 2 (Dynamic Adaptive Swing - 2x ATR SL / 3x ATR Tgt),100000.0,423.4,155606.46,267.79,53558.3,314233.22,214.23,12.24,2922,29.2,1.28,-21.1,6.8
Top 50 Champions Pool,Strategy 2,Strategy 2 (Dynamic Adaptive Swing - 2x ATR SL / 3x ATR Tgt),100000.0,186.29,62248.72,124.04,24808.57,199234.28,99.23,7.2,1497,30.3,1.38,-10.29,7.2
NIFTY Midcap 150,Strategy 2,Strategy 2 (Dynamic Adaptive Swing - 2x ATR SL / 3x ATR Tgt),100000.0,252.02,150701.78,101.32,20263.03,181052.09,81.05,6.17,3433,28.3,1.13,-32.31,7.0
NIFTY Next 50,Strategy 2,Strategy 2 (Dynamic Adaptive Swing - 2x ATR SL / 3x ATR Tgt),100000.0,116.67,63554.42,53.11,10622.88,142491.53,42.49,3.64,1376,28.6,1.18,-21.05,7.0
NIFTY Smallcap 250,Strategy 2,Strategy 2 (Dynamic Adaptive Swing - 2x ATR SL / 3x ATR Tgt),100000.0,224.21,174355.86,49.86,9971.55,139886.2,39.89,3.44,4346,27.1,1.05,-49.34,6.6
Top 50 Champions Pool,Strategy 3,Strategy 3 (Hybrid Optimal Swing - 50% Lock + True Break-Even Runner),100000.0,45.74,23448.56,22.29,4458.12,117830.56,17.83,1.67,910,50.5,1.25,-5.63,8.1
All-Sectors Broad Pool (NIFTY 500),Strategy 2,Strategy 2 (Dynamic Adaptive Swing - 2x ATR SL / 3x ATR Tgt),100000.0,195.34,173907.45,21.44,4287.43,117149.71,17.15,1.61,4757,27.0,1.02,-54.18,7.0
Top 50 Champions Pool,Strategy 1,Strategy 1 (Classic Breakout - Fixed 3% SL / 6% Tgt),100000.0,64.34,44714.81,19.63,3925.89,115703.56,15.7,1.48,1496,34.4,1.12,-19.13,4.3
Top 101 Winners Pool,Strategy 1,Strategy 1 (Classic Breakout - Fixed 3% SL / 6% Tgt),100000.0,107.37,89009.1,18.36,3671.26,114685.03,14.69,1.39,3217,33.3,1.06,-22.5,4.2
Top 101 Winners Pool,Strategy 3,Strategy 3 (Hybrid Optimal Swing - 50% Lock + True Break-Even Runner),100000.0,63.41,51464.25,11.94,2389.15,109552.62,9.55,0.92,2043,48.9,1.06,-15.19,7.7
NIFTY 50,Strategy 2,Strategy 2 (Dynamic Adaptive Swing - 2x ATR SL / 3x ATR Tgt),100000.0,53.93,44832.11,9.1,1819.5,107278.0,7.28,0.71,1310,31.3,1.05,-14.38,7.9
NIFTY 50,Strategy 3,Strategy 3 (Hybrid Optimal Swing - 50% Lock + True Break-Even Runner),100000.0,18.1,15817.15,2.28,456.39,101824.24,1.82,0.18,619,53.3,1.05,-9.11,9.6
NIFTY Midcap 150,Strategy 1,Strategy 1 (Classic Breakout - Fixed 3% SL / 6% Tgt),100000.0,123.92,125363.99,-1.45,0.0,98552.69,-1.45,-0.15,3996,30.6,1.0,-33.64,4.7
NIFTY Next 50,Strategy 3,Strategy 3 (Hybrid Optimal Swing - 50% Lock + True Break-Even Runner),100000.0,18.9,20697.06,-1.8,0.0,98202.56,-1.8,-0.18,739,47.8,0.98,-10.73,8.0
NIFTY 50,Strategy 1,Strategy 1 (Classic Breakout - Fixed 3% SL / 6% Tgt),100000.0,40.91,42826.18,-1.92,0.0,98084.74,-1.92,-0.19,1309,31.9,0.99,-28.05,6.3
NIFTY Next 50,Strategy 1,Strategy 1 (Classic Breakout - Fixed 3% SL / 6% Tgt),100000.0,31.56,49449.82,-17.89,0.0,82111.43,-17.89,-1.97,1346,31.1,0.91,-30.05,5.1
NIFTY Smallcap 250,Strategy 1,Strategy 1 (Classic Breakout - Fixed 3% SL / 6% Tgt),100000.0,126.97,154128.44,-27.16,0.0,72837.1,-27.16,-3.15,6020,31.3,0.95,-38.47,3.8
NIFTY Midcap 150,Strategy 3,Strategy 3 (Hybrid Optimal Swing - 50% Lock + True Break-Even Runner),100000.0,35.92,63241.93,-27.33,0.0,72670.49,-27.33,-3.17,2424,45.5,0.89,-32.47,8.1
NIFTY Smallcap 250,Strategy 3,Strategy 3 (Hybrid Optimal Swing - 50% Lock + True Break-Even Runner),100000.0,21.06,90848.64,-69.79,0.0,30205.23,-69.79,-11.38,4033,43.3,0.8,-70.92,7.2
All-Sectors Broad Pool (NIFTY 500),Strategy 1,Strategy 1 (Classic Breakout - Fixed 3% SL / 6% Tgt),100000.0,98.6,168525.75,-69.93,0.0,30070.06,-69.93,-11.42,6859,29.9,0.87,-71.04,4.2
All-Sectors Broad Pool (NIFTY 500),Strategy 3,Strategy 3 (Hybrid Optimal Swing - 50% Lock + True Break-Even Runner),100000.0,10.81,102466.05,-91.66,0.0,8338.77,-91.66,-22.17,4849,41.8,0.73,-91.77,7.4
