Universe,Strategy,Sector,Total Trades,Win Rate (%),Net Realized PnL (₹),Avg Return / Trade (%)
Top 101 Winners Pool,Strategy 2,Information Technology,559,30.1,77018.97,0.98
Top 101 Winners Pool,Strategy 2,Banking & Financial Services,601,31.9,75771.49,0.74
Top 101 Winners Pool,Strategy 2,"Construction, Materials & Infra",156,33.3,35187.64,1.27
Top 101 Winners Pool,Strategy 2,Healthcare & Pharmaceuticals,321,29.6,23822.6,0.71
Top 101 Winners Pool,Strategy 2,"Energy, Power & Utilities",128,28.9,17686.28,1.12
Top 101 Winners Pool,Strategy 2,Consumer Goods & Retail,421,25.2,16679.25,0.32
Top 101 Winners Pool,Strategy 2,Services & Logistics,107,24.3,10765.93,0.49
Top 101 Winners Pool,Strategy 2,Metals & Mining,114,25.4,7667.07,0.49
Top 101 Winners Pool,Strategy 2,Automobile & Auto Components,278,28.1,7192.63,0.01
Top 101 Winners Pool,Strategy 2,Chemicals & Fertilisers,121,32.2,4276.09,0.55
Top 101 Winners Pool,Strategy 2,Diversified & Others,116,27.6,-8276.43,-0.26
Top 101 Winners Pool,Strategy 3,Banking & Financial Services,402,54.2,9264.0,2.01
Top 101 Winners Pool,Strategy 3,"Energy, Power & Utilities",91,63.7,5584.49,3.1
Top 101 Winners Pool,Strategy 3,Information Technology,427,46.8,4056.44,1.96
Top 101 Winners Pool,Strategy 3,"Construction, Materials & Infra",99,49.5,3822.04,2.66
Top 101 Winners Pool,Strategy 3,Consumer Goods & Retail,296,46.6,1095.81,1.62
Top 101 Winners Pool,Strategy 3,Metals & Mining,78,55.1,24.87,1.95
Top 101 Winners Pool,Strategy 3,Chemicals & Fertilisers,87,43.7,-511.77,1.57
Top 101 Winners Pool,Strategy 3,Automobile & Auto Components,188,46.3,-1619.53,1.43
Top 101 Winners Pool,Strategy 3,Healthcare & Pharmaceuticals,210,47.1,-1950.7,1.41
Top 101 Winners Pool,Strategy 3,Services & Logistics,85,44.7,-2719.28,0.79
Top 101 Winners Pool,Strategy 3,Diversified & Others,80,38.8,-5100.61,0.01
Top 50 Champions Pool,Strategy 2,Banking & Financial Services,358,32.7,29154.89,0.72
Top 50 Champions Pool,Strategy 2,Information Technology,291,29.6,27272.79,0.83
Top 50 Champions Pool,Strategy 2,Consumer Goods & Retail,317,27.4,24813.65,0.73
Top 50 Champions Pool,Strategy 2,"Construction, Materials & Infra",102,33.3,16171.79,1.38
Top 50 Champions Pool,Strategy 2,Automobile & Auto Components,197,29.4,11662.52,0.43
Top 50 Champions Pool,Strategy 2,"Energy, Power & Utilities",37,35.1,8826.89,2.43
Top 50 Champions Pool,Strategy 2,Healthcare & Pharmaceuticals,121,30.6,5654.17,0.53
Top 50 Champions Pool,Strategy 2,Metals & Mining,3,33.3,1515.42,3.14
Top 50 Champions Pool,Strategy 2,Chemicals & Fertilisers,30,26.7,46.93,-0.13
Top 50 Champions Pool,Strategy 2,Diversified & Others,41,31.7,-1076.2,0.08
Top 50 Champions Pool,Strategy 3,Banking & Financial Services,191,56.5,8759.14,2.47
Top 50 Champions Pool,Strategy 3,Information Technology,194,53.6,4997.98,2.35
Top 50 Champions Pool,Strategy 3,Automobile & Auto Components,119,49.6,3428.14,2.36
Top 50 Champions Pool,Strategy 3,"Construction, Materials & Infra",69,47.8,2776.33,2.79
Top 50 Champions Pool,Strategy 3,Consumer Goods & Retail,209,46.9,2138.49,1.81
Top 50 Champions Pool,Strategy 3,"Energy, Power & Utilities",22,54.5,1900.4,4.15
Top 50 Champions Pool,Strategy 3,Metals & Mining,3,66.7,749.95,7.35
Top 50 Champions Pool,Strategy 3,Chemicals & Fertilisers,15,46.7,628.08,1.83
Top 50 Champions Pool,Strategy 3,Healthcare & Pharmaceuticals,69,44.9,-1255.82,0.93
Top 50 Champions Pool,Strategy 3,Diversified & Others,19,31.6,-1832.07,-1.27
